Article DOI,Phage Name,Phage Genome Accession/Bioproject,Phage Genome size (bp),Phage GC content (%),Phage TEM shows structural similarity with,Phage TEM dimensions/Capsid morphology,Phage Taxonomy,Phage type: Lytic/ Lysogenic/ Engineered,Place of Sample collection,Phage isolation Sample,Host Bacterial Species,Experimental / Challenge Host,Phage's Plaque characteristics/Shape,Optimal MOI,Latent period (min),Burst size (phage/infected bacterium),Optimal Temperature (°C),Optimal pH
"10.1128/spectrum.03979-25","Escherichia phage vB_EcoM_fBSZT1","BioProject: PRJNA1098433, GenBank: PV467748","169,720","39.65%","Myovirus","Head size: 102.67 ± 1.07 nm, Tail length: 116.23 ± 1.29 nm","Family: Straboviridae, Genus: Dhakavirus","Lytic","Bihar, India","Poultry fecal sample","Escherichia coli","Escherichia coli O135","Clear plaque with diameter of 0.22 ± 0.03 mm","10","10","915.40 ± 252.22 phages/cell","Stable up to 55°C","3–11"
"10.1128/spectrum.03979-25","Escherichia phage vB_EcoM_fDMYT1","BioProject: PRJNA1098433, GenBank: PV467749","356,482","35.60%","Myovirus","Head diagonal length: 107.62 ± 3.47 nm, Tail length: 123.80 ± 3.96 nm","Genus: Asteriusvirus","Lytic","Delhi, India","Poultry fecal sample","Escherichia coli","Escherichia coli O135","Large clear plaque with diameter of 2.14 ± 0.13 mm","10","20","556.02 ± 71.40 phages/cell","Stable up to 55°C","4–11"
"10.1128/spectrum.03979-25","Escherichia phage vB_EcoM_fUAMT1","BioProject: PRJNA1098433, GenBank: PQ724392","170,021","40.38%","Myovirus","Head size: 92.18 ± 0.59 nm, Tail length: 129.14 ± 8.25 nm","Genus: Gaprivervirus","Lytic","Uttar Pradesh, India","Poultry fecal sample","Escherichia coli","Escherichia coli O135","Clear plaque with diameter of 0.88 ± 0.1 mm","10","20","92.23 ± 51.89 phages/cell","Stable up to 70°C","3–11"
"10.1128/spectrum.03979-25","Escherichia phage vB_EcoM_fPKPT2","BioProject: PRJNA1098433, GenBank: PV419677","171,101","40.26%","Myovirus","Head size: 96.46 ± 1.90 nm, Tail length: 131.03 ± 1.05 nm","Genus: Gaprivervirus","Lytic","Punjab, India","Poultry fecal sample","Escherichia coli","Escherichia coli O135","Clear plaque with diameter of 0.87 ± 0.08 mm","10","20","414.54 ± 183.23 phages/cell","Stable up to 70°C","3–11"
"10.3390/v18050532","Escherichia phage BpE1AUH","PX741096","134,410 bp","43.68%","myovirus","icosahedral capsid with a diameter of 77.4 nm and a tail with a contractile sheath measuring 122.23 nm","Class Caudoviricetes, Genus Vequintavirus","Lytic","Primary Health Care Centre at the University of Hyderabad, Hyderabad, TS, India","sewage water","Escherichia coli","Escherichia coli K-12","clear, isolated plaques","-","-","-","25 °C","2.1–10.2"
"10.1007/s00253-026-13832-y","Proteus phage ram_arti_1324","PRJNA1256089","91,735 bp","34.7%","podoviruses","icosahedral head with a short, noncontractile tail","Podoviridae","lytic","Bhubaneswar, India","sewage","Proteus mirabilis","MDR strain of P. mirabilis (NCBI SRA accession no: SRR31895414)","distinct, well-defined plaques","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1016/j.enzmictec.2026.110870","Pseudomonas phage_SW_PA2862_14_24 (N2)","PV574405.1","92,799","49.34%","Myoviridae-like phages (family Straboviridae); shares strong homology with Pseudomonas phage vB_PaM_EPA1 (NC_073609.1) and Pseudomonas phage bmx-p3 (OQ319933.1)","Isometric icosahedral capsid approximately 58–60 nm in diameter, attached to a long, rigid contractile tail roughly 95–145 nm in length and 12–14 nm in width, with a baseplate-like structure and tail fibers","Class Caudoviricetes, Family Straboviridae","Lytic","A local sewage treatment facility near Manipal, Karnataka, India (GPS coordinates: 13.368669, 74.787738)","Sewage water","Pseudomonas aeruginosa","Pseudomonas aeruginosa NCIM 2862","Uniform, well-defined clear plaques with an average diameter of 2.0 ± 0.25 mm","10","25","231 ± 13 PFU/cell","37 °C","7"
"10.1016/j.enzmictec.2026.110870","Pseudomonas phage_SW_PA2862_11_24 (N3)","PV574406.1","92,798","49.35%","Myoviridae-like phages (family Straboviridae); shares high nucleotide identity with Pseudomonas phage SPA01 (NC_073602.1) and Pseudomonas phage Baskent_P3_3B (PP766723.1)","Isometric icosahedral capsid approximately 58–60 nm in diameter, attached to a long, rigid contractile tail roughly 95–145 nm in length and 12–14 nm in width","Class Caudoviricetes, Family Straboviridae","Lytic","A local sewage treatment facility near Manipal, Karnataka, India (GPS coordinates: 13.368669, 74.787738)","Sewage water","Pseudomonas aeruginosa","Pseudomonas aeruginosa NCIM 2862","Uniform, well-defined clear plaques with an average diameter of 4.0 ± 0.56 mm","10","25","91 ± 11 PFU/cell","37 °C","7"
"10.1186/s12866-026-04780-8","Escherichia phage BASUE2","PV636258","157,938","44.62%","Myoviridae-like","icosahedral capsid with a contractile tail","Class Caudoviricetes, Order Pantevenvirales, Family Ackermannviridae, Subfamily Cvivirinae, Genus Kuttervirus, Species Kuttervirus PM10","Lytic","livestock farms affiliated with the Bihar Animal Sciences University, Patna, India","sewage samples","Escherichia coli","E. coli strain BUE4","distinct, clear, and circular plaques ranging in size from approximately 0.5 to 1 mm in diameter","0.01","40","98","25 - 37","7.5"
"10.1186/s12866-026-04780-8","Escherichia phage BASUE7","PV6362599","50,255","45.47%","Siphoviridae-like","long, flexible, non-contractile tail with icosahedral head","Class Caudoviricetes, Family Drexlerviridae, Subfamily Tunavirinae, Genus Tunavirus","Lytic","livestock farms affiliated with the Bihar Animal Sciences University, Patna, India","sewage samples","Escherichia coli","E. coli strain BUE4","distinct, clear, and circular plaques ranging in size from approximately 0.5 to 1 mm in diameter","0.01","50","85","25 - 37","7.5"
"10.1186/s12866-026-04780-8","Escherichia phage BASUE10","PV636260","48,147","45.08%","Siphoviridae-like","long, flexible, non-contractile tail with icosahedral head","Class Caudoviricetes, Family Drexlerviridae, Subfamily Tunavirinae, Genus Tunavirus","Lytic","livestock farms affiliated with the Bihar Animal Sciences University, Patna, India","sewage samples","Escherichia coli","E. coli strain BUE4","distinct, clear, and circular plaques ranging in size from approximately 0.5 to 1 mm in diameter","0.01","40","97","25 - 37","7.5"
"10.1038/s41598-026-35899-3","ØPh_SS01","Not reported directly for ØPh_SS01 (closest homology reference: PQ358088.1)","46,750 bp","37.36%","Caudoviricetes (Siphoviridae)","complete virion length of 343.2 ± 35.5 nm, tail length of 269.7 ± 33.8 nm, and head diameter of 80.18 ± 30.5 nm","Caudoviricetes (Siphoviridae)","temperate","Effluent treatment plant (ETP), Amrita Vishwa Vidyapeetham, Amritapuri Campus, Kollam, Kerala, India","mixed sewage sample","Staphylococcus saprophyticus","Staphylococcus saprophyticus strain PV355097","clear, circular, pinpoint, pleomorphic plaques with ragged edges and a plaque diameter of 0.067 ± 0.023 cm","100","30","67.08 ± 24.5 virions per cell","4–37 °C","7"
"10.1128/mra.01277-25","Pseudomonas phage SW_PA2862_7_24","-","92,798 bp","49.35%","Pseudomonas phage PJNP029","icosahedral head and a contractile tail, myovirus-like morphology","Myoviridae (myovirus-like)","lytic","Manipal, India","sewage water","Pseudomonas aeruginosa","Pseudomonas aeruginosa 2862","-","-","-","-","37°C","-"
"10.1111/1751-7915.70289","P19","OM339718.1","228,239 bp","38.8%","Aeromonas phages AS-szw and vB_AdhM_TS9","Icosahedral head measuring 82.53 ± 2.3 nm and a contractile tail approximately 94.83 ± 1.9 nm in length","Family Straboviridae, Genus Ceceduovirus, Class Caudoviricetes","Lytic","Ganga river water, Prayagraj, Uttar Pradesh, India","River water","Aeromonas dhakensis","Aeromonas dhakensis CECT 5744T","Clear, dot-shaped, 1.465 ± 0.089 mm in diameter","Not reported","30 min","Approximately 50 ± 8 PFU/cell","30°C","8"
"10.1186/s12985-025-03052-7","ɸPh_AJ01","GenBank: PX061619, BioProject: PRJNA1178838","44,561 bp","38.62%","Caudoviricetes","Icosahedral head (76.5 ± 2.3 nm), long non-contractile tail (260.5 ± 2.4 nm), width (3.9 ± 0.6 nm)","Caudoviricetes","Temperate","Cooum River, Chennai, India","Water sample","Acinetobacter junii","Acinetobacter junii IS6","Distinct, clear, fray-edged, large plaques (2.6 ± 0.3 mm)","Not explicitly reported (tested 0.001–100)","20 min","74 ± 8 virions per cell","Stable across 4–50 °C","Stable across pH 2–10"
"10.1016/j.jbc.2025.111083","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","spleen cells from white-spotted bamboo sharks (Chiloscyllium plagiosum)","Not reported","TG1 cells","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1038/s41598-025-24573-9","vB_Sal_S6","PV934232","36,127","38.6","Not reported","icosahedral head of average diameter 81.88 ± 5.03 nm and a tail of 100.81 ± 0.23 nm length and tail diameter of 21.53 ± 0.54 nm","Tequintavirus genus within Demerecviridae family","Lytic","Mysuru, Karnataka, India","drainage samples","Salmonella Typhimurium","Salmonella Typhimurium ATCC 14028","clear rounded plaques","10","40","123","25–55 °C","4–10"
"10.1038/s41598-025-21701-3","RG1","PQ586903","41,364","35.54%","Siphovirus-like bacteriophage","icosahedral head with a diameter of 53.96 ± 1.56 nm and a non-contractile tail with a length of 196.0 ± 6.86 nm","genus Efemquintavirus","Lytic","Ravidas Ghat of the Ganga River in Varanasi, India","soil sample","Enterococcus faecium","E. faecium ATCC 35667","clear plaques with an average diameter of 2.1 ± 0.01 mm","0.1","10","61","4-55 °C","4 to 11"
"10.1186/s12866-025-04457-8","vB_KleM_kp20","PP993148","174032","41.94","myovirus","head (116.68 ± 4.1 nm × 87.10 ± 1.26 nm) and tail (108.81 ± 3.1 nm)","genus Slopekvirus under the Straboviridae family","Lytic","Tezpur, Assam, India","sewage water","Klebsiella michiganensis","Klebsiella michiganensis","circular, measuring approximately 6.5 ± 3.1 mm, transparent, with a halo encircling a clearer plaque center","0.1 (planktonic), 1.0 (biofilm)","10","100","4–40 °C","6–10"
"10.1038/s41598-025-23545-3","Premi","GenBank accession no. OR798392, BioProject accession no. PRJNA222858","42,785","38.7","T7-like podophages","icosahedral structure with a diameter of approximately ~ 35 nm and a short, non-contractile tail","Caudoviricetes, family Autographiviridae","Lytic","Navasota, Texas, USA","wastewater treatment plant (sewage influent)","Proteus mirabilis","ATCC 29906","uniform in size, approximately 1 mm in diameter, and exhibited virulent phage characteristics with clear plaques that have sharply defined edges","Not reported","Not reported","Not reported","Not reported","3 to 11"
"10.1038/s44298-025-00155-4","SSG23","PQ351811","168820","40.8%","Straboviridae family","prolate head with ~88.6 ± 3.62 nm in length and a long contractile tail with ~103.15 ± 3.35 nm in length","Straboviridae family, T4 virus genus","Lytic","River Ganges near Kolkata, West Bengal, India","water sample","Shigella sonnei","Shigella sonnei NK 3918","about 1 mm","10","37","195","-20 to 37 °C","7.0"
"10.1016/j.heliyon.2024.e40076","M12PA","PP668090","66,388","Not reported","Myoviridae","143.7 nm","Myoviridae","Lytic","sewage and degradable waste-contaminated soil","soil samples","Pseudomonas aeruginosa","P. aeruginosa ATCC 15442","clear lytic zone","1","Not reported","Not reported","30 to 70°C","5 to 11"
"10.1016/j.jmii.2025.08.022","KPØ1","PP350798","167148 bp","39.61","Myoviridae","105*75 nm","Caudoviricetes; Straboviridae","Lytic","Mangaluru, India","water and soil samples","Klebsiella pneumoniae","KP002","Not reported","Not reported","20","237","Not reported","Not reported"
"10.1016/j.jmii.2025.08.022","KPØ5","PP350799","176005 bp","41.95%","Myoviridae","97*87 nm","Caudoviricetes; Straboviridae","Lytic","Mangaluru, India","water and soil samples","Klebsiella pneumoniae","KP009","-","-","30","102","-","-"
"10.1016/j.jmii.2025.08.022","KPØ6","OR882092","160725 bp","46.21%","Myoviridae","106*86 nm","Caudoviricetes; Ackermannviridae","Lytic","Mangaluru, India","water and soil samples","Klebsiella pneumoniae","KP009","-","-","15","61","-","-"
"10.1016/j.jmii.2025.08.022","KPØ11","OR644643","176005 bp","41.95%","Myoviridae","98*63 nm","Caudoviricetes; Straboviridae","Lytic","Mangaluru, India","water and soil samples","Klebsiella pneumoniae","KP002","-","-","25","65","-","-"
"10.1016/j.jmii.2025.08.022","KPØ17","OR666137","165027 bp","39.65%","Myoviridae","72*50.8 nm","Caudoviricetes; Straboviridae","Lytic","Mangaluru, India","water and soil samples","Klebsiella pneumoniae","KP075","-","-","30","40","-","-"
"10.1016/j.jobcr.2025.06.024","AKP2ɸ","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","local poultry farm","poultry samples","Enterococcus faecalis","Enterococcus faecalis (specific strain not reported)","distinct and well-defined plaques","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1186/s12985-025-02646-5","Sharanji","Not reported","350,079","34.1%","Myophage","particle size of 247.2 nm","Asteriusvirus","Lytic","Mangalagiri mandal, Andhra Pradesh, India","Chicken feces","Escherichia coli","Escherichia coli strain MG1655","Tiny plaque","1","60","96 virions per infected cell","Not reported (Stable between 4 °C to 50 °C; declines at 60 °C)","7.4"
"10.1186/s12985-025-02646-5","PCM001","Not reported","Not reported (Matches closely with 168–170 kb phages)","Not reported","Myophage","average size of 224.2 nm","Not reported","Not reported","Mangalagiri mandal, Andhra Pradesh, India","Chicken feces","Escherichia coli","Escherichia coli strain MG1655","Slightly bigger plaque","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3389/fmicb.2025.1588472","KPKp","PP791833.1","206,816 bp","39.74%","Ackermannviridae","icosahedral head with dimensions ~104.8 ± 17 nm in length and 83.6 ± 10 nm in width, along with a tail measuring 114 ± 1 nm in length and 24.3 ± 5 nm in width","Ackermannviridae","Lytic","Karaikudi, Sivaganga District, Tamil Nadu","pond","Klebsiella pneumoniae","Klebsiella pneumoniae ATCC 700603","moderate plaque formation with a surrounding halo zone","Not reported","8 min","98","Not reported 
(Range 4 - 60 °C)","Not reported 
(Range 5 - 10)"
"10.3389/fmicb.2025.1588472","KSKp","PQ306550.1","167,101 bp","39.6%","Straboviridae","icosahedral head measuring around 110.4 ± 2 nm in length and 89.2 ± 3 nm in width, coupled with a tail spanning 134.6 ± 6 nm in length and 29.5 ± 8 nm in width, adorned with tail spikes at its base","Straboviridae","Lytic","Karaikudi, Sivaganga District, Tamil Nadu","sewage","Klebsiella pneumoniae","Klebsiella pneumoniae ATCC 700603","plaques without a halo","Not reported","12 min","125","Not reported 
(Range 4 - 55 °C)","Not reported 
(Range 6 - 10)"
"10.1093/nar/gkaf662","Mycobacteriophage D29","Not reported","Not reported","Not reported","Not reported","Not reported","Mycobacteriophage","Lytic","Not reported","Not reported","Mycobacterium smegmatis, Mycobacterium tuberculosis","Mycobacterium smegmatis strain mc2155","Plaque size and host lysis timing remained unaltered in mutant compared to wildtype","1","60 min","~2-fold reduction in burst size after D29Δgp36 infection","37°C","Not reported"
"10.1038/s41598-025-12366-z","Unnamed E. coli lytic phage","Not reported","Not reported","Not reported","Not reported","Icosahedron head (76 ± 5 nm) and a non-contractile tail (128 ± 5 nm)","Caudovirales, Myoviridae","Lytic","Local medical centers (12°49’21.7” North and 80°03’01.0” East)","Hospital sewage samples","Escherichia coli","ATCC 25922","Small (1.5 mm in diameter) with clear halo","0.1","30","Not reported","Not reported","Not reported"
"10.1007/s12088-025-01450-7","Escherichia phage CMSTMSU","AXC39479.1","386,442 bp","Not reported","Siphoviridae family","head was about 220–230 nm in diameter, hexagonal in form, and non-contractile, measuring about 15 nm in diameter and 120 nm in length","Siphoviridae","Lytic","Ramanathapuram district, Tamil Nadu, India","waste effluent water from a semi-intensive shrimp farm","Escherichia coli","Not reported","Not reported","Not reported","20 to 140 min","11, 29, 75, 97, 108, and 115","40 and 50 °C","5 to 9"
"10.1128/mra.01113-21","AIIMS-Plu-RaNi","MZ926748 / PRJNA772046","46600","64.45","Not reported","icosahedral head and tail","Siphoviridae","Not reported","residential area of AIIMS, New Delhi","sewage water","Pseudomonas luteola","Not reported","clear zone","Not reported","Not reported","Not reported","37","Not reported"
"10.3389/fmicb.2022.980025","STWB21","MW567727","112,834 bp","40.37%","Siphoviridae","Icosahedral head (65 ± 3 nm), long flexible non-contractile tail (113 ± 6 nm)","Siphoviridae","Lytic","Lake water in the outskirt area about 18 km from Kolkata, West Bengal, India","Lake water","Salmonella typhi, S. paratyphi, S. typhimurium, S. enteritidis, Sh. flexneri 2a, Sh. flexneri 3a, ETEC","Salmonella typhi","Clear plaques, around 1 mm diameter","Not reported","25","161","4°C–50°C","4–11"
"10.3389/fmicb.2022.980025","STWB21","MW567727","112,834 bp","40.37%","Siphoviridae","Icosahedral head (65 ± 3 nm), long flexible non-contractile tail (113 ± 6 nm)","Siphoviridae","Lytic","Lake water in the outskirt area about 18 km from Kolkata, West Bengal, India","Lake water","Salmonella typhi, S. paratyphi, S. typhimurium, S. enteritidis, Sh. flexneri 2a, Sh. flexneri 3a, ETEC","Salmonella paratyphi","Clear plaques, around 1 mm diameter","Not reported","55","53","4°C–50°C","4–11"
"10.3389/fmicb.2022.980025","STWB21","MW567727","112,834 bp","40.37%","Siphoviridae","Icosahedral head (65 ± 3 nm), long flexible non-contractile tail (113 ± 6 nm)","Siphoviridae","Lytic","Lake water in the outskirt area about 18 km from Kolkata, West Bengal, India","Lake water","Salmonella typhi, S. paratyphi, S. typhimurium, S. enteritidis, Sh. flexneri 2a, Sh. flexneri 3a, ETEC","Salmonella typhimurium","Clear plaques, around 1 mm diameter","Not reported","50","163","4°C–50°C","4–11"
"10.3389/fmicb.2022.980025","STWB21","MW567727","112,834 bp","40.37%","Siphoviridae","Icosahedral head (65 ± 3 nm), long flexible non-contractile tail (113 ± 6 nm)","Siphoviridae","Lytic","Lake water in the outskirt area about 18 km from Kolkata, West Bengal, India","Lake water","Salmonella typhi, S. paratyphi, S. typhimurium, S. enteritidis, Sh. flexneri 2a, Sh. flexneri 3a, ETEC","Salmonella enteritidis","Clear plaques, around 1 mm diameter","Not reported","35","224","4°C–50°C","4–11"
"10.1038/s41598-022-24134-4","ϕPh_SE03","Not reported","Not reported","Not reported","Caudoviricetes","capsid diameter of 58 nm and a tail length of 129 nm","Caudoviricetes","Lytic","effluent treatment plant (ETP) at the School of Biotechnology, Amrita Vishwa Vidyapeetham, Kerala, India","domestic wastewater","Salmonella enterica","Escherichia coli ST155","large, clear and well-defined plaques","Not reported","10","166 ± 10","37","Not reported"
"10.1038/s41598-022-24134-4","ϕPh_SD01","Not reported","Not reported","Not reported","Caudoviricetes","capsid diameter of 66 nm and a tail length of 112 nm","Caudoviricetes","Lytic","effluent treatment plant (ETP) at the School of Biotechnology, Amrita Vishwa Vidyapeetham, Kerala, India","domestic wastewater","Shigella dysenteriae","Escherichia coli ST155","medium-sized plaques with frayed edges","10","30","122 ± 31","37","Not reported"
"10.1038/s41598-022-24134-4","ϕPh_EC01","Not reported","Not reported","Not reported","Caudoviricetes","capsid diameter of 63 nm and a tail length of 116 nm","Caudoviricetes","Lytic","effluent treatment plant (ETP) at the School of Biotechnology, Amrita Vishwa Vidyapeetham, Kerala, India","domestic wastewater","E. coli MDR","Escherichia coli ST155","pinhead clear plaques","10","10","44 ± 8.3","37","Not reported"
"10.1038/s41598-022-25257-4","VLGREEWSTSYW-M13","Not reported","Not reported","Not reported","Not reported","Not reported","M13 phage","Engineered","Not reported","Not reported","Not applicable (targets EGFRvIII receptor on human cells)","Escherichia coli ER2738","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1038/s41598-022-25257-4","YDADMFYMKTNM-M13","Not reported","Not reported","Not reported","Not reported","Not reported","M13 phage","Engineered","Not reported","Not reported","Not applicable (targets EGFRvIII receptor on human cells)","Escherichia coli ER2738","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1038/s41598-022-25257-4","LEKGNTLSTSTV-M13","Not reported","Not reported","Not reported","Not reported","Not reported","M13 phage","Engineered","Not reported","Not reported","Not applicable (targets EGFRvIII receptor on human cells)","Escherichia coli ER2738","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1038/s41598-022-25257-4","NPIVRSAEDGQL-M13","Not reported","Not reported","Not reported","Not reported","Not reported","M13 phage","Engineered","Not reported","Not reported","Not applicable (targets EGFRvIII receptor on human cells)","Escherichia coli ER2738","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1038/s41598-022-25257-4","NESGITRIALQD-M13","Not reported","Not reported","Not reported","Not reported","Not reported","M13 phage","Engineered","Not reported","Not reported","Not applicable (targets EGFRvIII receptor on human cells)","Escherichia coli ER2738","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3389/fmicb.2023.1084025","vB_XooS_NR08","OQ055246; PRJNA844261","98,812","52.9","Siphoviridae","56.84 ± 2.58 nm head width, 58.72 ± 2.16 nm head length, and 156.42 ± 8.63 nm long non-contractile tail","Siphoviridae","Lytic","Durg, CG (21.190449 N 81.284920 E)","Rice field Water","Xanthomonas oryzae pv. oryzae","XooCG01","1–2 mm, Clear","0.1","40","250","4°C–40°C","6–8"
"10.1038/s42003-023-04718-0","SrNaFLD-T7Select 10-3b phage","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Engineered","Not reported","Not reported","Streptosporangium roseum","E. coli strain BL5403 (propagation); E. coli BL21/pAR3924,5453 and BL24/pAR3924,5453 (packaging/propagation)","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
